epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7397,0.72184,4.45615,0.00807,0.00453,0.12727,0.00702,0.00472,0.44415,4.43823,0.00595,2.222e-05,2.222e-05,2.222e-05
2,28.1758,0.66625,4.32698,0.00762,0.01407,0.35584,0.01971,0.01358,0.41409,4.42988,0.00558,5.5275e-05,5.5275e-05,5.5275e-05
3,29.724,0.62009,4.3089,0.00706,0.01449,0.56987,0.06791,0.05208,0.41918,4.42859,0.00562,8.80001e-05,8.80001e-05,8.80001e-05
4,31.2482,0.63557,4.37029,0.0082,0.01562,0.71117,0.16593,0.13657,0.37006,4.41586,0.00492,0.000120395,0.000120395,0.000120395
5,32.834,0.64108,4.14267,0.00711,0.01886,0.83792,0.26751,0.23551,0.40277,4.422,0.00539,0.00015246,0.00015246,0.00015246
6,34.3307,0.55145,4.06299,0.00654,0.01655,0.90286,0.2837,0.25032,0.41074,4.38223,0.00549,0.000184195,0.000184195,0.000184195
7,35.8461,0.56977,4.16898,0.00725,0.01533,0.94286,0.31394,0.27116,0.37575,4.32306,0.00493,0.000215601,0.000215601,0.000215601
8,37.2599,0.54586,3.71491,0.00585,0.01391,0.94286,0.3186,0.28438,0.37734,4.31709,0.005,0.000246676,0.000246676,0.000246676
9,38.6987,0.55785,3.86039,0.00646,0.01176,0.91429,0.37733,0.32815,0.37065,4.28935,0.00496,0.000277421,0.000277421,0.000277421
10,40.1439,0.55458,3.61505,0.0057,0.01106,0.88571,0.40281,0.3511,0.40414,4.2681,0.0054,0.000307836,0.000307836,0.000307836
11,41.7119,0.49834,3.64254,0.00658,0.01079,0.88571,0.42868,0.37928,0.37762,4.20832,0.00505,0.000337922,0.000337922,0.000337922
12,43.237,0.55371,3.42309,0.00618,0.01095,0.88571,0.47363,0.42517,0.37072,4.16839,0.00495,0.000367677,0.000367677,0.000367677
13,44.7871,0.55533,3.26064,0.00637,0.01104,0.88571,0.51033,0.46106,0.38078,4.06647,0.00507,0.000397103,0.000397103,0.000397103
14,46.2394,0.55095,3.32744,0.0065,0.01125,0.88571,0.54874,0.49307,0.37675,4.0083,0.005,0.000426198,0.000426198,0.000426198
15,47.7155,0.50459,2.91643,0.00574,0.01166,0.91429,0.59392,0.55097,0.35691,3.87996,0.00492,0.000454963,0.000454963,0.000454963
16,49.1979,0.51883,2.80571,0.00589,0.01205,0.94286,0.59555,0.5454,0.40118,3.79345,0.0056,0.000483399,0.000483399,0.000483399
17,50.6471,0.55728,2.74517,0.00686,0.01159,0.94286,0.63409,0.58191,0.4155,3.60062,0.00565,0.000511504,0.000511504,0.000511504
18,52.1405,0.52016,2.55729,0.00572,0.01234,1,0.72019,0.66398,0.44723,3.5157,0.00605,0.00053928,0.00053928,0.00053928
19,53.588,0.49878,2.42079,0.00579,0.80753,0.54182,0.76765,0.72335,0.41577,3.4002,0.00556,0.000566726,0.000566726,0.000566726
20,54.9688,0.52793,2.49303,0.00645,0.95676,0.15792,0.76984,0.73083,0.38086,3.29589,0.0051,0.000593841,0.000593841,0.000593841
21,56.453,0.50312,2.5125,0.00629,1,0.0835,0.73844,0.693,0.3873,3.22628,0.00509,0.000620627,0.000620627,0.000620627
22,57.8994,0.5428,2.56456,0.00643,1,0.13392,0.74072,0.66834,0.44884,3.18054,0.00583,0.000647083,0.000647083,0.000647083
23,59.3038,0.51942,2.27943,0.00523,1,0.20212,0.74934,0.68555,0.45509,3.11493,0.00613,0.000673208,0.000673208,0.000673208
24,60.758,0.57504,2.70415,0.00706,0.9662,0.26235,0.75459,0.70724,0.3802,3.0343,0.00516,0.000699004,0.000699004,0.000699004
25,62.3247,0.61291,2.4313,0.00695,0.96641,0.3538,0.77924,0.71992,0.42419,2.96333,0.00556,0.00072447,0.00072447,0.00072447
26,63.9491,0.59339,2.07034,0.00652,0.94762,0.42537,0.79711,0.71455,0.49772,2.90054,0.00643,0.000749606,0.000749606,0.000749606
27,65.5388,0.60427,2.14622,0.00715,0.91069,0.42637,0.84324,0.75679,0.5167,2.82031,0.00674,0.000774411,0.000774411,0.000774411
